"genus","A","B","difference"
"Hungatella",3386.53333333333,3764.06666666667,377.533333333333
"Phascolarctobacterium",600.811111111111,352.955555555556,247.855555555556
"Holdemanella",113.366666666667,18.4666666666667,94.9
"Butyricicoccus",705,796.833333333333,91.8333333333334
"Butyricimonas",214.466666666667,132.011111111111,82.4555555555555
"Paraprevotella",85.7888888888889,28.3777777777778,57.4111111111111
"Bilophila",526.766666666667,470.166666666667,56.6
"Sutterella",75.3761904761905,21.147619047619,54.2285714285714
"Escherichia",130.625,175.991666666667,45.3666666666667
"Odoribacter",164.922222222222,122.983333333333,41.9388888888889
"Fusicatenibacter",225.65,262.3,36.65
"Bacteroides",92.9226190476191,59.5901785714286,33.3324404761905
"Flavonifractor",852.033333333333,885.133333333333,33.1
"Subdoligranulum",399.877777777778,429.855555555556,29.9777777777778
"Ruthenibacterium",199.9,224.733333333333,24.8333333333333
"Barnesiella",67.5333333333333,43.1833333333333,24.35
"Faecalibacterium",1235.19333333333,1210.97333333333,24.22
"Megamonas",50.1466666666667,27.4933333333333,22.6533333333333
"Azospirillum",30.25,8.79166666666667,21.4583333333333
"Parabacteroides",73.5518518518519,52.2055555555556,21.3462962962963
