"genus","condition","avg_abundance"
"Hungatella","A",3386.53333333333
"Hungatella","B",3764.06666666667
"Phascolarctobacterium","A",600.811111111111
"Phascolarctobacterium","B",352.955555555556
"Holdemanella","A",113.366666666667
"Holdemanella","B",18.4666666666667
"Butyricicoccus","A",705
"Butyricicoccus","B",796.833333333333
"Butyricimonas","A",214.466666666667
"Butyricimonas","B",132.011111111111
"Paraprevotella","A",85.7888888888889
"Paraprevotella","B",28.3777777777778
"Bilophila","A",526.766666666667
"Bilophila","B",470.166666666667
"Sutterella","A",75.3761904761905
"Sutterella","B",21.147619047619
"Escherichia","A",130.625
"Escherichia","B",175.991666666667
"Odoribacter","A",164.922222222222
"Odoribacter","B",122.983333333333
"Fusicatenibacter","A",225.65
"Fusicatenibacter","B",262.3
"Bacteroides","A",92.9226190476191
"Bacteroides","B",59.5901785714286
"Flavonifractor","A",852.033333333333
"Flavonifractor","B",885.133333333333
"Subdoligranulum","A",399.877777777778
"Subdoligranulum","B",429.855555555556
"Ruthenibacterium","A",199.9
"Ruthenibacterium","B",224.733333333333
"Barnesiella","A",67.5333333333333
"Barnesiella","B",43.1833333333333
"Faecalibacterium","A",1235.19333333333
"Faecalibacterium","B",1210.97333333333
"Megamonas","A",50.1466666666667
"Megamonas","B",27.4933333333333
"Azospirillum","A",30.25
"Azospirillum","B",8.79166666666667
"Parabacteroides","A",73.5518518518519
"Parabacteroides","B",52.2055555555556
